aalib 1.4rc5-19
kiconthemes 6.28.0-1
kio 6.28.0-1
kirigami 6.28.0-1
kirigami-addons 1.13.1-1
kitemmodels 6.28.0-1
kitemviews 6.28.0-1
kitty 0.48.2-1
kitty-shell-integration 0.48.2-1
kitty-terminfo 0.48.2-1
kjobwidgets 6.28.0-1
kmod 34.2-1
knewstuff 6.28.0-1
knotifications 6.28.0-1
knotifyconfig 6.28.0-1
kodi 21.3-5
kpackage 6.28.0-1
kpeople 6.28.0-1
krb5 1.22.2-1
kservice 6.28.0-1
kstatusnotifieritem 6.28.0-1
ksvg 6.28.0-1
ktextwidgets 6.28.0-1
kvantum 1.1.8-1
kvantum-qt5 1.1.8-1
kwallet 6.28.0-1
kwidgetsaddons 6.28.0-1
kwindowsystem 6.28.0-1
kxmlgui 6.28.0-1
l-smash 2.14.5-4
lame 4.0-1
lapack 3.12.1-2
lazydocker 0.25.2-1
lazygit 0.64.1-1
lcms2 2.19.1-1
ldb 2:4.24.5-1
leancrypto 1.8.0-1
leptonica 1.87.0-1
less 1:704-1
lib32-alsa-lib 1.2.16.1-1
lib32-alsa-plugins 1.2.12-1
lib32-brotli 1.2.0-2
lib32-bzip2 1.0.8-4
lib32-curl 8.21.0-1
lib32-dbus 1.16.2-1
lib32-e2fsprogs 1.47.4-1
lib32-expat 2.8.3-1
lib32-fontconfig 2:2.18.3-1
lib32-freetype2 2.14.3-1
lib32-gcc-libs 16.2.1+r23+gd564253eb6c8-1
lib32-glib2 2.88.3-1
lib32-glibc 2.44+r24+g16be1518495f-1
lib32-gmp 6.3.0-2
lib32-gnutls 3.8.13-3
lib32-icu 78.3-1
lib32-json-c 0.19-1
lib32-keyutils 1.6.3-4
lib32-krb5 1.22.2-1
lib32-libdisplay-info 0.3.0-1
lib32-libdrm 2.4.134-1
lib32-libelf 0.195-1
lib32-libffi 3.8.0-1
lib32-libgcrypt 1.12.2-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.61-1
lib32-libidn2 2.3.8-1
lib32-libldap 2.6.13-1
lib32-libnghttp2 1.70.0-1
lib32-libnghttp3 1.18.0-1
lib32-libngtcp2 1.25.0-1
lib32-libnm 1.58.0-1
lib32-libpciaccess 0.19-1
lib32-libpipewire 1:1.6.8-1
lib32-libpng 1.6.58-2
lib32-libpsl 0.21.5-1
lib32-libssh2 1.11.1-5
lib32-libtasn1 4.21.0-1
lib32-libunistring 1.4.2-1
lib32-libva 2.24.1-1
lib32-libx11 1.8.13-1
lib32-libxau 1.0.12-1
lib32-libxcb 1.17.0-1
lib32-libxcrypt 4.5.2-1
lib32-libxcrypt-compat 4.5.2-1
lib32-libxdmcp 1.1.5-1
lib32-libxext 1.3.7-1
lib32-libxfixes 6.0.1-2
lib32-libxinerama 1.1.6-1
lib32-libxml2 2.15.3-1
lib32-libxshmfence 1.3.3-1
lib32-libxss 1.2.5-1
lib32-libxxf86vm 1.1.5-2
lib32-llvm-libs 1:22.1.8-1
lib32-lm_sensors 1:3.6.2-2
lib32-mesa 1:26.1.7-1
lib32-ncurses 6.6-2
lib32-nettle 4.0-2
lib32-nspr 4.40-1
lib32-nss 3.126-1
lib32-nvidia-utils 610.57.04-1
lib32-openssl 1:3.6.3-1
lib32-p11-kit 0.26.5-1
lib32-pcre2 10.47-1
lib32-pipewire 1:1.6.8-1
lib32-spirv-tools 1:1.4.357.0-1
lib32-sqlite 3.53.4-1
lib32-systemd 261.2-1
lib32-util-linux 2.42.2-1
lib32-vulkan-icd-loader 1.4.357.0-1
lib32-vulkan-intel 1:26.1.7-1
lib32-vulkan-mesa-implicit-layers 1:26.1.7-1
lib32-wayland 1.26.0-1
lib32-xcb-util-keysyms 0.4.1-2
lib32-xz 5.8.3-1
lib32-zlib 1.3.2-1
lib32-zstd 1.5.7-2
libabw 0.1.4-1
libaccounts-glib 1.27-3
libaccounts-qt 1.17-2
libadwaita 1:1.9.3-1
libaio 0.3.113-4
libarchive 3.8.9-1
libasan 16.2.1+r23+gd564253eb6c8-1
libass 0.17.5-1
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-8
libatomic 16.2.1+r23+gd564253eb6c8-1
libatomic_ops 7.8.2-2
libavc1394 0.5.4-7
libavif 1.4.2-1
libayatana-appindicator 0.6.0-1
libayatana-indicator 0.9.5-1
libb2 0.98.1-3
libblake3 1.8.4-1
libblockdev 3.5.0-2
libblockdev-crypto 3.5.0-2
libblockdev-fs 3.5.0-2
libblockdev-loop 3.5.0-2
libblockdev-mdraid 3.5.0-2
libblockdev-nvme 3.5.0-2
libblockdev-part 3.5.0-2
libblockdev-smart 3.5.0-2
libblockdev-swap 3.5.0-2
libbluray 1.4.1-1
libbpf 1.7.0-1
libbs2b 3.1.0-10
libbsd 0.12.2-2
libbytesize 2.12-3
libcaca 0.99.beta20-7
libcanberra 1:0.30+r2+gc0620e4-6
libcap 2.78-1
libcap-ng 0.9.3-1
libcbor 0.14.0-1
libcdio 2.3.0-1
libcdio-paranoia 10.2+2.0.2-2
libcdr 0.1.9-1
libcec 7.1.1-2
libcloudproviders 0.4.0-1
libcmis 0.6.3-1
libcolord 1.4.8-1
libcue 2.3.0-2
libcups 2:2.4.19-1
libcupsfilters 2.1.1-4
libcurl-gnutls 8.21.0-1
libdaemon 0.14-6
libdatachannel 0.24.5-2
libdatrie 0.2.14-1
libdbusmenu-glib 18.10.20180917-1
libdbusmenu-gtk3 18.10.20180917-1
libdc1394 2.2.7-2
libde265 1.1.1-1
libdecor 0.2.5-1
libdeflate 1.25-1
libdisplay-info 0.3.0-1
libdovi 3.4.0-1
libdrm 2.4.134-1
libdv 1.0.0-12
libdvdnav 7.0.0-1
libdvdread 7.1.1-1
libdwarf 1:2.3.2-1
libe-book 0.1.4-1
libebur128 1.2.6-2
libedit 20260512_3.1-1
libei 1.6.0-1
libelf 0.195-8
libepoxy 1.5.10-3
libepubgen 0.1.1-6
libetonyek 0.1.13-2
libevdev 1.13.6-1
libevent 2.1.13-2
libexif 0.6.26-1
libexttextcat 3.4.8-1
libfakekey 0.3-4
libfdk-aac 2.0.3-2
libffi 3.8.0-1
libfido2 1.17.0-1
libfontenc 1.1.9-1
libfprint-git 1.94.10.r188.g6df065c-1.1
libfreeaptx 0.2.2-1
libfreehand 0.1.3-1
libftdi 1.5-10
libfyaml 0.9.6-3
libgcc 16.2.1+r23+gd564253eb6c8-1
libgcrypt 1.12.2-1
libgee 0.20.8-1
libgfortran 16.2.1+r23+gd564253eb6c8-1
libgirepository 1.86.0-2
libgit2 1:1.9.6-1
libglvnd 1.7.0-3
libgomp 16.2.1+r23+gd564253eb6c8-1
libgpg-error 1.61-1
libgphoto2 2.5.34-1
libgsf 1.14.58-1
libgudev 238-3
libgusb 0.4.9-2
libgxps 0.3.2-5
libhandy 1.8.3-2
libheif 1.23.1-4
libhwasan 16.2.1+r23+gd564253eb6c8-1
libice 1.1.2-1
libidn 1.44-1
libidn2 2.3.8-1
libiec61883 1.2.0-9
libimagequant 4.4.1-2
libime 1.1.15-1
libimobiledevice 1.4.0-2
libimobiledevice-glue 1.3.2-1
libinih 62-2
libinput 1.31.3-1
libiptcdata 1.0.5-5
libisl 0.28-1
libixion 0.20.0-7
libjpeg-turbo 3.2.0-2
libjuice 1.7.3-1
libjxl 0.12.0-1
libksba 1.8.0-1
liblangtag 0.6.8-1
liblc3 1.1.3-2
libldac 2.0.2.6-1
libldap 2.6.13-1
liblqr 0.4.3-1
liblsan 16.2.1+r23+gd564253eb6c8-1
libluv 1.52.1-1
libmakepkg-dropins 20-2
libmalcontent 0.14.0-4
libmanette 0.2.13-2
libmbim 1.34.0-1
libmd 1.2.0-1
libmicrohttpd 1.0.10-1
libmilter 8.18.2-1
libmm-glib 1.24.2-1
libmng 2.0.3-4
libmnl 1.0.5-2
libmodplug 0.8.9.0-7
libmpc 1.4.1-1
libmpdclient 2.27-1
libmspack 1:1.11-2
libmspub 0.1.5-1
libmtp 1.1.23-1
libmupdf 1.28.0-1
libmwaw 0.3.23-1
libmysofa 1.3.4-1
